tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P
0,4341.0,4348.0,4646.0,4647.0,2363.0,2364.0,2618.0,5011.0,2762.0,2110.0,2111.0,2112.0,2114.0,2115.0,2116.0,2117.0,2118.0,2119.0,2120.0,2121.0,2123.0,2685.0,4795.0,2686.0,7510.0,4799.0,2205.0,2687.0,2688.0,2689.0,2696.0,2697.0,4414.0,5009.0,2199.0
5002508,45000.0,45080.0,45161.0,45199.0,45274.0,45426.0,45485.0,45542.0,45673.0,45822.0,45903.0,45927.0,46062.0,46102.0,46176.0,46227.0,46400.0,46427.0,46507.0,46559.0,46622.0,46664.0,46844.0,46948.0,46985.0,47044.0,47063.0,47106.0,47142.0,47181.0,47256.0,47320.0,47410.0,47452.0,47589.0
5002510,52200.0,52290.0,52381.0,52424.0,52509.0,52678.0,52738.0,52795.0,52926.0,53056.0,53144.0,53171.0,53306.0,53346.0,53420.0,53471.0,53646.0,53672.0,53748.0,53798.0,53858.0,53897.0,54066.0,54163.0,54197.0,54252.0,54272.0,54315.0,54352.0,54391.0,54445.0,54513.0,54608.0,54653.0,54798.0
5002744,28800.0,28852.0,28904.0,28928.0,28976.0,29074.0,29114.0,29152.0,29240.0,29340.0,29417.0,29440.0,29519.0,29543.0,29587.0,29617.0,29718.0,29735.0,29786.0,29819.0,29859.0,29887.0,30029.0,30111.0,30140.0,30186.0,30201.0,30237.0,30268.0,30301.0,30366.0,30417.0,30489.0,30523.0,30632.0
5002746,36000.0,36084.0,36169.0,36209.0,36288.0,36448.0,36499.0,36548.0,36659.0,36775.0,36838.0,36857.0,36958.0,36988.0,37044.0,37082.0,37213.0,37235.0,37299.0,37341.0,37392.0,37426.0,37585.0,37677.0,37709.0,37761.0,37779.0,37826.0,37866.0,37909.0,37970.0,38032.0,38118.0,38158.0,38290.0
5002748,48600.0,48680.0,48761.0,48799.0,48874.0,49026.0,49085.0,49142.0,49273.0,49422.0,49503.0,49527.0,49662.0,49702.0,49776.0,49827.0,50000.0,50027.0,50107.0,50159.0,50222.0,50264.0,50444.0,50548.0,50585.0,50644.0,50663.0,50706.0,50742.0,50781.0,50856.0,50920.0,51010.0,51052.0,51189.0
5002750,61200.0,61293.0,61387.0,61431.0,61519.0,61696.0,61748.0,61797.0,61910.0,62085.0,62159.0,62181.0,62299.0,62334.0,62399.0,62443.0,62594.0,62620.0,62696.0,62746.0,62806.0,62846.0,63051.0,63169.0,63211.0,63278.0,63300.0,63344.0,63382.0,63422.0,63467.0,63521.0,63596.0,63631.0,63744.0
5002753,78300.0,78370.0,78441.0,78474.0,78540.0,78672.0,78716.0,78758.0,78856.0,78952.0,79029.0,79052.0,79143.0,79170.0,79220.0,79254.0,79373.0,79396.0,79464.0,79508.0,79561.0,79597.0,79747.0,79833.0,79863.0,79912.0,79928.0,79967.0,80000.0,80036.0,80095.0,80142.0,80207.0,80238.0,80338.0
5003255,30600.0,30661.0,30723.0,30752.0,30810.0,30926.0,30976.0,31024.0,31133.0,31226.0,31287.0,31306.0,31391.0,31416.0,31463.0,31495.0,31604.0,31623.0,31680.0,31717.0,31761.0,31791.0,31920.0,31994.0,32020.0,32062.0,32076.0,32111.0,32141.0,32172.0,32216.0,32274.0,32355.0,32393.0,32517.0
5003257,37800.0,37880.0,37961.0,37999.0,38074.0,38226.0,38285.0,38342.0,38473.0,38622.0,38703.0,38727.0,38862.0,38902.0,38976.0,39027.0,39200.0,39227.0,39307.0,39359.0,39422.0,39464.0,39644.0,39748.0,39785.0,39844.0,39863.0,39906.0,39942.0,39981.0,40056.0,40120.0,40210.0,40252.0,40389.0
