tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P
0,2934.0,2935.0,2936.0,2937.0,2938.0,7440.0,2940.0,2948.0,2949.0,2950.0,2954.0,7067.0,2956.0,2965.0,7448.0,2967.0,2968.0,2969.0,2970.0,4988.0,4707.0,4708.0,4336.0,4337.0,1310.0,1311.0,1312.0,1313.0,1055.0,2868.0,2825.0
5008681,58200.0,58313.0,58423.0,58449.0,58480.0,58535.0,58583.0,58631.0,58657.0,58698.0,58808.0,58859.0,58884.0,58930.0,58979.0,59020.0,59053.0,59084.0,59118.0,59159.0,59218.0,59245.0,59273.0,59365.0,59390.0,59425.0,59462.0,59489.0,59539.0,59625.0,59689.0
5008683,62700.0,62813.0,62923.0,62949.0,62980.0,63035.0,63083.0,63131.0,63157.0,63198.0,63308.0,63359.0,63384.0,63430.0,63479.0,63520.0,63553.0,63584.0,63618.0,63659.0,63718.0,63745.0,63773.0,63865.0,63890.0,63925.0,63962.0,63989.0,64039.0,64125.0,64189.0
5008709,37800.0,37913.0,38023.0,38049.0,38080.0,38135.0,38183.0,38231.0,38257.0,38298.0,38408.0,38459.0,38484.0,38530.0,38579.0,38620.0,38653.0,38684.0,38718.0,38759.0,38818.0,38845.0,38873.0,38965.0,38990.0,39025.0,39062.0,39089.0,39139.0,39225.0,39289.0
5018784,39000.0,39113.0,39223.0,39249.0,39280.0,39335.0,39383.0,39431.0,39457.0,39498.0,39608.0,39659.0,39684.0,39730.0,39779.0,39820.0,39853.0,39884.0,39918.0,39959.0,40018.0,40045.0,40073.0,40165.0,40190.0,40225.0,40262.0,40289.0,40339.0,40425.0,40489.0
5091183,62700.0,62809.0,62914.0,62939.0,62969.0,63022.0,63068.0,63114.0,63139.0,63178.0,63283.0,63333.0,63357.0,63401.0,63449.0,63489.0,63521.0,63551.0,63582.0,63621.0,63678.0,63704.0,63731.0,63819.0,63843.0,63876.0,63911.0,63939.0,63987.0,64069.0,64131.0
5093948,39000.0,39109.0,39214.0,39239.0,39269.0,39322.0,39368.0,39414.0,39439.0,39478.0,39583.0,39633.0,39657.0,39701.0,39749.0,39789.0,39821.0,39851.0,39882.0,39921.0,39978.0,40004.0,40031.0,40119.0,40143.0,40176.0,40211.0,40239.0,40287.0,40369.0,40431.0
5099863,37800.0,37909.0,38014.0,38039.0,38069.0,38122.0,38168.0,38214.0,38239.0,38278.0,38383.0,38433.0,38457.0,38501.0,38549.0,38589.0,38621.0,38651.0,38682.0,38721.0,38778.0,38804.0,38831.0,38919.0,38943.0,38976.0,39011.0,39039.0,39087.0,39169.0,39231.0
5106927,37800.0,37909.0,38014.0,38039.0,38069.0,38122.0,38168.0,38214.0,38239.0,38278.0,38383.0,38433.0,38457.0,38501.0,38549.0,38589.0,38621.0,38651.0,38682.0,38721.0,38778.0,38804.0,38831.0,38919.0,38943.0,38976.0,39011.0,39039.0,39087.0,39169.0,39231.0
5115981,39000.0,39109.0,39214.0,39239.0,39269.0,39322.0,39368.0,39414.0,39439.0,39478.0,39583.0,39633.0,39657.0,39701.0,39749.0,39789.0,39821.0,39851.0,39882.0,39921.0,39978.0,40004.0,40031.0,40119.0,40143.0,40176.0,40211.0,40239.0,40287.0,40369.0,40431.0
5116330,62700.0,62809.0,62914.0,62939.0,62969.0,63022.0,63068.0,63114.0,63139.0,63178.0,63283.0,63333.0,63357.0,63401.0,63449.0,63489.0,63521.0,63551.0,63582.0,63621.0,63678.0,63704.0,63731.0,63819.0,63843.0,63876.0,63911.0,63939.0,63987.0,64069.0,64131.0
