tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P,074_P,075_P
5094420,31200.0,31266.0,31300.0,31342.0,31371.0,31431.0,31489.0,31530.0,31563.0,31672.0,31721.0,31775.0,31822.0,31861.0,31904.0,31942.0,31981.0,32037.0,32070.0,32135.0,32230.0,32297.0,32313.0,32371.0,32395.0,32459.0,32512.0,32563.0,32621.0,32641.0,32698.0,32739.0,32779.0,32821.0,32861.0,32909.0,32952.0,33012.0,33053.0,33110.0,33164.0,33211.0,33273.0,33282.0,33349.0,33461.0,33725.0,33817.0,33831.0,33861.0,33959.0,34034.0,34077.0,34130.0,34158.0,34198.0,34222.0,34235.0,34273.0,34310.0,34344.0,34397.0,34424.0,34456.0,34495.0,34533.0,34575.0,34630.0,34661.0,34706.0,34727.0,34779.0,34813.0,34852.0,34907.0
5094422,40800.0,40896.0,40928.0,40969.0,40993.0,41043.0,41092.0,41114.0,41131.0,41189.0,41223.0,41260.0,41293.0,41319.0,41363.0,41402.0,41443.0,41499.0,41536.0,41605.0,41706.0,41777.0,41792.0,41845.0,41864.0,41913.0,41957.0,42007.0,42064.0,42084.0,42140.0,42180.0,42219.0,42266.0,42310.0,42368.0,42421.0,42493.0,42537.0,42599.0,42673.0,42737.0,42821.0,42834.0,42939.0,43038.0,43271.0,43340.0,43351.0,43375.0,43455.0,43516.0,43547.0,43585.0,43613.0,43653.0,43678.0,43695.0,43746.0,43796.0,43821.0,43861.0,43882.0,43922.0,43970.0,44017.0,44071.0,44142.0,44182.0,44240.0,44267.0,44335.0,44380.0,44427.0,44491.0
5094424,52200.0,52283.0,52357.0,52450.0,52476.0,52530.0,52582.0,52616.0,52643.0,52731.0,52760.0,52793.0,52821.0,52844.0,52886.0,52923.0,52962.0,53018.0,53050.0,53092.0,53154.0,53198.0,53209.0,53248.0,53269.0,53325.0,53370.0,53414.0,53464.0,53482.0,53531.0,53566.0,53601.0,53630.0,53658.0,53708.0,53754.0,53817.0,53851.0,53899.0,53967.0,54026.0,54103.0,54115.0,54255.0,54393.0,54718.0,54823.0,54839.0,54864.0,54945.0,55007.0,55064.0,55134.0,55174.0,55231.0,55266.0,55283.0,55335.0,55386.0,55416.0,55464.0,55488.0,55523.0,55565.0,55608.0,55666.0,55743.0,55786.0,55849.0,55878.0,55952.0,56002.0,56034.0,56079.0
5094426,63000.0,63149.0,63205.0,63275.0,63295.0,63337.0,63378.0,63409.0,63434.0,63517.0,63560.0,63608.0,63649.0,63682.0,63728.0,63768.0,63810.0,63869.0,63903.0,63976.0,64083.0,64157.0,64171.0,64220.0,64242.0,64298.0,64360.0,64412.0,64471.0,64492.0,64550.0,64592.0,64634.0,64674.0,64711.0,64760.0,64805.0,64866.0,64908.0,64966.0,65028.0,65081.0,65151.0,65163.0,65281.0,65487.0,65971.0,66061.0,66075.0,66093.0,66151.0,66195.0,66234.0,66282.0,66307.0,66343.0,66364.0,66384.0,66443.0,66500.0,66527.0,66570.0,66592.0,66632.0,66681.0,66730.0,66784.0,66856.0,66896.0,66955.0,66982.0,67050.0,67096.0,67131.0,67180.0
5095093,50400.0,50528.0,50582.0,50651.0,50683.0,50750.0,50816.0,50850.0,50877.0,50967.0,51001.0,51039.0,51072.0,51099.0,51150.0,51195.0,51243.0,51305.0,51338.0,51395.0,51479.0,51538.0,51553.0,51608.0,51634.0,51701.0,51747.0,51803.0,51866.0,51888.0,51950.0,51995.0,52040.0,52077.0,52112.0,52171.0,52225.0,52300.0,52343.0,52402.0,52478.0,52543.0,52629.0,52643.0,52735.0,52883.0,53232.0,53346.0,53364.0,53389.0,53472.0,53535.0,53598.0,53674.0,53700.0,53737.0,53760.0,53777.0,53830.0,53882.0,53912.0,53960.0,53985.0,54020.0,54062.0,54104.0,54154.0,54220.0,54257.0,54312.0,54337.0,54401.0,54444.0,54492.0,54559.0
5095105,46800.0,46928.0,46982.0,47051.0,47083.0,47150.0,47216.0,47250.0,47277.0,47367.0,47401.0,47439.0,47472.0,47499.0,47550.0,47595.0,47643.0,47705.0,47738.0,47795.0,47879.0,47938.0,47953.0,48008.0,48034.0,48101.0,48147.0,48203.0,48266.0,48288.0,48350.0,48395.0,48440.0,48477.0,48512.0,48571.0,48625.0,48700.0,48743.0,48802.0,48878.0,48943.0,49029.0,49043.0,49135.0,49283.0,49632.0,49746.0,49764.0,49789.0,49872.0,49935.0,49998.0,50074.0,50100.0,50137.0,50160.0,50177.0,50230.0,50282.0,50312.0,50360.0,50385.0,50420.0,50462.0,50504.0,50554.0,50620.0,50657.0,50712.0,50737.0,50801.0,50844.0,50892.0,50959.0
5095107,57600.0,57775.0,57842.0,57927.0,57953.0,58008.0,58062.0,58088.0,58108.0,58176.0,58212.0,58252.0,58287.0,58314.0,58365.0,58410.0,58456.0,58512.0,58551.0,58617.0,58714.0,58783.0,58797.0,58846.0,58875.0,58951.0,58994.0,59047.0,59107.0,59128.0,59187.0,59229.0,59271.0,59306.0,59339.0,59390.0,59436.0,59499.0,59542.0,59602.0,59675.0,59737.0,59819.0,59832.0,59922.0,60096.0,60504.0,60624.0,60642.0,60668.0,60752.0,60816.0,60863.0,60921.0,60948.0,60986.0,61009.0,61023.0,61064.0,61104.0,61133.0,61179.0,61203.0,61235.0,61274.0,61313.0,61368.0,61441.0,61482.0,61542.0,61570.0,61640.0,61686.0,61732.0,61796.0
5095109,68400.0,68530.0,68586.0,68658.0,68683.0,68734.0,68784.0,68809.0,68829.0,68897.0,68929.0,68964.0,68995.0,69020.0,69067.0,69109.0,69153.0,69206.0,69246.0,69289.0,69352.0,69397.0,69413.0,69469.0,69491.0,69547.0,69592.0,69647.0,69709.0,69731.0,69792.0,69836.0,69877.0,69925.0,69969.0,70014.0,70055.0,70111.0,70151.0,70207.0,70274.0,70332.0,70408.0,70420.0,70521.0,70711.0,71156.0,71229.0,71240.0,71264.0,71342.0,71401.0,71437.0,71482.0,71509.0,71548.0,71571.0,71586.0,71632.0,71677.0,71701.0,71739.0,71758.0,71795.0,71839.0,71883.0,71942.0,72019.0,72063.0,72126.0,72156.0,72230.0,72279.0,72313.0,72359.0
5095883,31500.0,31579.0,31613.0,31656.0,31688.0,31755.0,31819.0,31853.0,31880.0,31968.0,32010.0,32057.0,32098.0,32132.0,32193.0,32247.0,32304.0,32373.0,32432.0,32493.0,32582.0,32645.0,32663.0,32725.0,32756.0,32838.0,32891.0,32962.0,33042.0,33070.0,33148.0,33205.0,33260.0,33308.0,33353.0,33406.0,33454.0,33519.0,33578.0,33661.0,33767.0,33858.0,33978.0,33996.0,34073.0,34264.0,34711.0,34899.0,34928.0,34955.0,35043.0,35111.0,35155.0,35208.0,35234.0,35271.0,35293.0,35309.0,35358.0,35406.0,35433.0,35476.0,35497.0,35534.0,35578.0,35622.0,35674.0,35743.0,35782.0,35839.0,35865.0,35931.0,35975.0,36024.0,36091.0
5095884,64800.0,64915.0,64970.0,65039.0,65064.0,65117.0,65170.0,65202.0,65228.0,65314.0,65347.0,65384.0,65416.0,65441.0,65487.0,65528.0,65570.0,65633.0,65667.0,65725.0,65811.0,65871.0,65889.0,65953.0,65984.0,66064.0,66120.0,66190.0,66269.0,66297.0,66375.0,66431.0,66487.0,66527.0,66564.0,66617.0,66665.0,66730.0,66776.0,66841.0,66940.0,67025.0,67137.0,67154.0,67256.0,67427.0,67828.0,67975.0,67998.0,68029.0,68132.0,68212.0,68270.0,68341.0,68376.0,68425.0,68454.0,68478.0,68551.0,68622.0,68657.0,68712.0,68740.0,68790.0,68850.0,68911.0,68983.0,69078.0,69131.0,69209.0,69245.0,69336.0,69396.0,69442.0,69506.0
5095886,75600.0,75684.0,75729.0,75786.0,75805.0,75845.0,75885.0,75907.0,75924.0,75981.0,76009.0,76040.0,76067.0,76089.0,76126.0,76159.0,76193.0,76248.0,76278.0,76326.0,76397.0,76446.0,76458.0,76501.0,76521.0,76572.0,76605.0,76642.0,76684.0,76699.0,76740.0,76770.0,76800.0,76833.0,76863.0,76901.0,76935.0,76983.0,77019.0,77069.0,77144.0,77209.0,77294.0,77308.0,77408.0,77564.0,77930.0,78019.0,78033.0,78056.0,78130.0,78187.0,78232.0,78287.0,78314.0,78352.0,78375.0,78392.0,78443.0,78493.0,78519.0,78560.0,78581.0,78622.0,78672.0,78722.0,78771.0,78835.0,78871.0,78923.0,78947.0,79008.0,79049.0,79091.0,79149.0
5096241,33300.0,33379.0,33413.0,33456.0,33488.0,33555.0,33619.0,33653.0,33680.0,33768.0,33810.0,33857.0,33898.0,33932.0,33993.0,34047.0,34104.0,34173.0,34232.0,34293.0,34382.0,34445.0,34463.0,34525.0,34556.0,34638.0,34691.0,34762.0,34842.0,34870.0,34948.0,35005.0,35060.0,35108.0,35153.0,35206.0,35254.0,35319.0,35378.0,35461.0,35567.0,35658.0,35778.0,35796.0,35873.0,36064.0,36511.0,36699.0,36728.0,36755.0,36843.0,36911.0,36955.0,37008.0,37034.0,37071.0,37093.0,37109.0,37158.0,37206.0,37233.0,37276.0,37297.0,37334.0,37378.0,37422.0,37474.0,37543.0,37582.0,37639.0,37665.0,37731.0,37775.0,37824.0,37891.0
