tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P,074_P,075_P,076_P,077_P,078_P,079_P,080_P,081_P,082_P,083_P,084_P,085_P
0,4686.0,4687.0,102.0,6239.0,104.0,6241.0,105.0,4365.0,4367.0,4788.0,6273.0,136.0,137.0,193.0,979.0,1529.0,1530.0,1531.0,1532.0,1592.0,1593.0,1594.0,1596.0,4363.0,1598.0,1597.0,1599.0,1600.0,1601.0,1602.0,1603.0,1604.0,1573.0,1574.0,1575.0,4583.0,1576.0,1577.0,1578.0,4364.0,1580.0,7237.0,7241.0,7247.0,7243.0,7126.0,7124.0,7343.0,7318.0,4980.0,2289.0,1835.0,1836.0,1837.0,2338.0,2290.0,6179.0,7297.0,1813.0,1814.0,1852.0,1853.0,1854.0,1844.0,6172.0,1856.0,1857.0,1858.0,1859.0,1860.0,4492.0,1861.0,1862.0,1863.0,1864.0,1865.0,1866.0,1850.0,1867.0,4489.0,4323.0,1824.0,1825.0,1826.0,1827.0
5012375,28800.0,28823.0,28936.0,28980.0,29058.0,29098.0,29125.0,29152.0,29233.0,29278.0,29332.0,29358.0,29411.0,29439.0,29515.0,29593.0,29628.0,29704.0,29755.0,29834.0,29920.0,29961.0,30048.0,30093.0,30131.0,30171.0,30195.0,30259.0,30281.0,30332.0,30355.0,30401.0,30457.0,30486.0,30513.0,30540.0,30559.0,30591.0,30618.0,30686.0,30868.0,30905.0,30931.0,30956.0,31004.0,31068.0,31108.0,31165.0,31251.0,31329.0,31372.0,31391.0,31420.0,31449.0,31513.0,31577.0,31625.0,31667.0,31839.0,31911.0,32001.0,32089.0,32134.0,32206.0,32300.0,32377.0,32431.0,32460.0,32515.0,32578.0,32611.0,32646.0,32689.0,32731.0,32769.0,32818.0,32867.0,32927.0,32964.0,32981.0,33047.0,33139.0,33165.0,33238.0,33273.0
5087378,28800.0,28822.0,28930.0,28972.0,29048.0,29086.0,29111.0,29138.0,29215.0,29259.0,29311.0,29336.0,29387.0,29414.0,29487.0,29562.0,29596.0,29669.0,29718.0,29794.0,29877.0,29917.0,30000.0,30043.0,30080.0,30118.0,30141.0,30202.0,30223.0,30272.0,30294.0,30338.0,30392.0,30420.0,30446.0,30472.0,30490.0,30520.0,30546.0,30612.0,30789.0,30825.0,30850.0,30874.0,30920.0,30982.0,31021.0,31075.0,31158.0,31233.0,31274.0,31292.0,31320.0,31348.0,31410.0,31472.0,31518.0,31558.0,31724.0,31793.0,31879.0,31964.0,32007.0,32076.0,32166.0,32240.0,32292.0,32320.0,32373.0,32433.0,32464.0,32498.0,32539.0,32580.0,32617.0,32664.0,32711.0,32768.0,32805.0,32822.0,32885.0,32973.0,32998.0,33068.0,33102.0
5109627,28800.0,28822.0,28930.0,28972.0,29048.0,29086.0,29111.0,29138.0,29215.0,29259.0,29311.0,29336.0,29387.0,29414.0,29487.0,29562.0,29596.0,29669.0,29718.0,29794.0,29877.0,29917.0,30000.0,30043.0,30080.0,30118.0,30141.0,30202.0,30223.0,30272.0,30294.0,30338.0,30392.0,30420.0,30446.0,30472.0,30490.0,30520.0,30546.0,30612.0,30789.0,30825.0,30850.0,30874.0,30920.0,30982.0,31021.0,31075.0,31158.0,31233.0,31274.0,31292.0,31320.0,31348.0,31410.0,31472.0,31518.0,31558.0,31724.0,31793.0,31879.0,31964.0,32007.0,32076.0,32166.0,32240.0,32292.0,32320.0,32373.0,32433.0,32464.0,32498.0,32539.0,32580.0,32617.0,32664.0,32711.0,32768.0,32805.0,32822.0,32885.0,32973.0,32998.0,33068.0,33102.0
