tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P
5098325,55500.0,55580.0,55611.0,55655.0,55807.0,55880.0,55913.0,55968.0,55991.0,56032.0,56079.0,56144.0,56212.0,56255.0,56297.0,56356.0,56432.0,56498.0,56553.0,56616.0,56666.0,56714.0,56744.0,56776.0,56824.0,56868.0,56923.0,56964.0,56985.0,57036.0,57054.0,57085.0,57161.0,57185.0,57212.0,57271.0,57297.0,57396.0,57436.0,57458.0,57502.0,57568.0,57615.0,57671.0,57765.0,57817.0,57837.0,57852.0,57902.0,57976.0,58019.0,58052.0,58089.0,58127.0,58168.0,58217.0,58253.0,58321.0,58395.0,58421.0,58458.0
5098327,64800.0,64880.0,64911.0,64955.0,65107.0,65180.0,65213.0,65268.0,65291.0,65332.0,65379.0,65444.0,65512.0,65555.0,65597.0,65656.0,65732.0,65798.0,65853.0,65916.0,65966.0,66014.0,66044.0,66076.0,66124.0,66168.0,66223.0,66264.0,66285.0,66336.0,66354.0,66385.0,66461.0,66485.0,66512.0,66571.0,66597.0,66696.0,66736.0,66758.0,66802.0,66868.0,66915.0,66971.0,67065.0,67117.0,67137.0,67152.0,67202.0,67276.0,67319.0,67352.0,67389.0,67427.0,67468.0,67517.0,67553.0,67621.0,67695.0,67721.0,67758.0
5098329,80400.0,80445.0,80463.0,80488.0,80603.0,80647.0,80667.0,80707.0,80724.0,80749.0,80778.0,80819.0,80863.0,80891.0,80918.0,80973.0,81054.0,81125.0,81161.0,81203.0,81236.0,81267.0,81293.0,81320.0,81340.0,81359.0,81383.0,81411.0,81425.0,81460.0,81472.0,81491.0,81539.0,81554.0,81571.0,81622.0,81647.0,81740.0,81765.0,81779.0,81807.0,81849.0,81886.0,81930.0,82004.0,82036.0,82049.0,82059.0,82089.0,82121.0,82177.0,82200.0,82226.0,82251.0,82290.0,82337.0,82370.0,82425.0,82485.0,82509.0,82544.0
5098759,46500.0,46585.0,46618.0,46665.0,46803.0,46870.0,46901.0,46946.0,46965.0,46996.0,47031.0,47080.0,47155.0,47203.0,47249.0,47311.0,47402.0,47481.0,47552.0,47634.0,47699.0,47760.0,47793.0,47827.0,47872.0,47913.0,47965.0,48004.0,48024.0,48072.0,48089.0,48122.0,48203.0,48228.0,48257.0,48333.0,48361.0,48468.0,48516.0,48543.0,48596.0,48675.0,48723.0,48780.0,48875.0,48937.0,48961.0,48979.0,49038.0,49103.0,49152.0,49191.0,49236.0,49281.0,49328.0,49385.0,49426.0,49504.0,49589.0,49620.0,49663.0
5098763,66000.0,66080.0,66111.0,66155.0,66307.0,66380.0,66413.0,66468.0,66491.0,66532.0,66579.0,66644.0,66712.0,66755.0,66797.0,66856.0,66932.0,66998.0,67053.0,67116.0,67166.0,67214.0,67244.0,67276.0,67324.0,67368.0,67423.0,67464.0,67485.0,67536.0,67554.0,67585.0,67661.0,67685.0,67712.0,67771.0,67797.0,67896.0,67936.0,67958.0,68002.0,68068.0,68115.0,68171.0,68265.0,68317.0,68337.0,68352.0,68402.0,68476.0,68519.0,68552.0,68589.0,68627.0,68668.0,68717.0,68753.0,68821.0,68895.0,68921.0,68958.0
5099019,22200.0,22276.0,22306.0,22348.0,22463.0,22520.0,22546.0,22597.0,22618.0,22651.0,22689.0,22743.0,22797.0,22831.0,22865.0,22928.0,22994.0,23052.0,23110.0,23177.0,23231.0,23282.0,23316.0,23351.0,23391.0,23427.0,23473.0,23517.0,23540.0,23594.0,23613.0,23643.0,23717.0,23740.0,23768.0,23891.0,23927.0,24065.0,24111.0,24137.0,24187.0,24261.0,24310.0,24369.0,24466.0,24525.0,24548.0,24565.0,24621.0,24683.0,24730.0,24769.0,24813.0,24857.0,24914.0,24982.0,25032.0,25141.0,25260.0,25286.0,25323.0
5099021,34500.0,34623.0,34671.0,34739.0,34902.0,34972.0,35004.0,35104.0,35146.0,35192.0,35244.0,35317.0,35390.0,35437.0,35482.0,35553.0,35624.0,35686.0,35748.0,35819.0,35876.0,35930.0,35979.0,36031.0,36086.0,36136.0,36199.0,36252.0,36280.0,36346.0,36369.0,36410.0,36511.0,36542.0,36579.0,36725.0,36764.0,36913.0,36965.0,36994.0,37051.0,37137.0,37200.0,37274.0,37397.0,37469.0,37497.0,37518.0,37585.0,37687.0,37741.0,37785.0,37834.0,37884.0,37931.0,37988.0,38030.0,38122.0,38224.0,38262.0,38315.0
5099023,47400.0,47484.0,47517.0,47563.0,47702.0,47774.0,47807.0,47887.0,47921.0,47964.0,48013.0,48082.0,48148.0,48190.0,48231.0,48307.0,48454.0,48582.0,48647.0,48723.0,48783.0,48840.0,48895.0,48953.0,49023.0,49088.0,49169.0,49221.0,49248.0,49312.0,49334.0,49375.0,49474.0,49505.0,49541.0,49630.0,49665.0,49796.0,49858.0,49893.0,49961.0,50062.0,50128.0,50206.0,50335.0,50425.0,50460.0,50486.0,50570.0,50700.0,50772.0,50822.0,50878.0,50935.0,50990.0,51057.0,51106.0,51204.0,51311.0,51341.0,51384.0
5099025,60300.0,60393.0,60429.0,60480.0,60656.0,60754.0,60799.0,60891.0,60930.0,60992.0,61064.0,61163.0,61256.0,61315.0,61372.0,61453.0,61691.0,61899.0,61978.0,62070.0,62143.0,62212.0,62262.0,62315.0,62379.0,62438.0,62512.0,62563.0,62589.0,62652.0,62674.0,62711.0,62801.0,62829.0,62862.0,63001.0,63042.0,63195.0,63250.0,63281.0,63342.0,63433.0,63507.0,63595.0,63740.0,63823.0,63855.0,63879.0,63958.0,64089.0,64182.0,64246.0,64318.0,64391.0,64446.0,64512.0,64560.0,64697.0,64848.0,64882.0,64931.0
5099027,75600.0,75662.0,75686.0,75720.0,75839.0,75912.0,75945.0,76006.0,76031.0,76068.0,76110.0,76168.0,76223.0,76258.0,76292.0,76358.0,76419.0,76473.0,76524.0,76583.0,76630.0,76673.0,76704.0,76737.0,76773.0,76806.0,76848.0,76887.0,76907.0,76955.0,76973.0,77004.0,77079.0,77103.0,77130.0,77189.0,77221.0,77341.0,77376.0,77396.0,77434.0,77491.0,77524.0,77563.0,77627.0,77675.0,77693.0,77707.0,77752.0,77812.0,77867.0,77897.0,77931.0,77965.0,78002.0,78047.0,78080.0,78126.0,78176.0,78200.0,78233.0
