tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P
0,342.0,4521.0,1934.0,2385.0,2386.0,2387.0,2388.0,1290.0,1291.0,1292.0,1293.0,1294.0,1295.0,1296.0,1297.0,1298.0,1121.0,1122.0,1123.0,1124.0,1125.0,1127.0,1130.0,1140.0,2515.0,2516.0,2517.0,2518.0,4749.0,4750.0,4751.0,4754.0,4755.0,3003.0,2522.0,2524.0,2523.0,2532.0,4877.0,4878.0,7180.0,7123.0,4347.0,7181.0
5003025,26100.0,26150.0,26211.0,26304.0,26383.0,26397.0,26420.0,26525.0,26635.0,26672.0,26707.0,26735.0,26768.0,26798.0,26835.0,26855.0,26896.0,26939.0,26955.0,26969.0,27004.0,27049.0,27112.0,27168.0,27210.0,27240.0,27260.0,27282.0,27343.0,27373.0,27434.0,27477.0,27562.0,27593.0,27646.0,27707.0,27732.0,27793.0,27837.0,27886.0,27932.0,28017.0,28175.0,28247.0
5003027,36900.0,36994.0,37110.0,37285.0,37384.0,37402.0,37432.0,37538.0,37619.0,37675.0,37728.0,37770.0,37821.0,37865.0,37919.0,37948.0,38009.0,38073.0,38091.0,38107.0,38163.0,38235.0,38308.0,38373.0,38422.0,38457.0,38482.0,38508.0,38574.0,38607.0,38678.0,38729.0,38829.0,38866.0,38929.0,39001.0,39030.0,39102.0,39157.0,39219.0,39276.0,39383.0,39560.0,39642.0
5003029,45900.0,46000.0,46124.0,46312.0,46408.0,46435.0,46479.0,46631.0,46726.0,46788.0,46847.0,46893.0,46950.0,46996.0,47054.0,47085.0,47152.0,47223.0,47244.0,47262.0,47328.0,47427.0,47510.0,47584.0,47640.0,47679.0,47711.0,47744.0,47832.0,47876.0,47958.0,48017.0,48131.0,48173.0,48245.0,48328.0,48361.0,48441.0,48504.0,48575.0,48641.0,48763.0,48949.0,49034.0
5003031,54900.0,55001.0,55126.0,55315.0,55408.0,55432.0,55472.0,55663.0,55752.0,55824.0,55892.0,55945.0,56010.0,56070.0,56145.0,56185.0,56248.0,56314.0,56370.0,56418.0,56528.0,56651.0,56767.0,56871.0,56949.0,57004.0,57039.0,57076.0,57174.0,57223.0,57313.0,57378.0,57504.0,57551.0,57630.0,57721.0,57758.0,57848.0,57917.0,57994.0,58066.0,58199.0,58407.0,58503.0
5003033,63300.0,63408.0,63541.0,63743.0,63828.0,63865.0,63926.0,64172.0,64290.0,64390.0,64485.0,64560.0,64651.0,64714.0,64793.0,64835.0,64895.0,64958.0,64992.0,65021.0,65124.0,65226.0,65358.0,65477.0,65566.0,65629.0,65664.0,65701.0,65813.0,65869.0,65950.0,66008.0,66121.0,66163.0,66234.0,66316.0,66349.0,66430.0,66497.0,66573.0,66643.0,66773.0,66985.0,67082.0
5003034,75600.0,75684.0,75788.0,75945.0,76033.0,76053.0,76086.0,76177.0,76234.0,76282.0,76327.0,76363.0,76406.0,76449.0,76503.0,76532.0,76587.0,76645.0,76663.0,76679.0,76731.0,76791.0,76854.0,76911.0,76953.0,76983.0,77011.0,77041.0,77123.0,77164.0,77229.0,77275.0,77365.0,77399.0,77456.0,77522.0,77548.0,77613.0,77658.0,77709.0,77756.0,77845.0,77994.0,78062.0
5003036,84000.0,84084.0,84188.0,84345.0,84433.0,84453.0,84486.0,84577.0,84634.0,84682.0,84727.0,84763.0,84806.0,84849.0,84903.0,84932.0,84987.0,85045.0,85063.0,85079.0,85131.0,85191.0,85254.0,85311.0,85353.0,85383.0,85411.0,85441.0,85523.0,85564.0,85629.0,85675.0,85765.0,85799.0,85856.0,85922.0,85948.0,86013.0,86058.0,86109.0,86156.0,86245.0,86394.0,86462.0
5003809,62400.0,62508.0,62641.0,62843.0,62928.0,62965.0,63026.0,63272.0,63390.0,63490.0,63585.0,63660.0,63751.0,63814.0,63893.0,63935.0,63995.0,64058.0,64092.0,64121.0,64224.0,64326.0,64458.0,64577.0,64666.0,64729.0,64764.0,64801.0,64913.0,64969.0,65050.0,65108.0,65221.0,65263.0,65334.0,65416.0,65449.0,65530.0,65597.0,65673.0,65743.0,65873.0,66085.0,66182.0
5003811,73200.0,73299.0,73421.0,73607.0,73698.0,73721.0,73759.0,73860.0,73957.0,74008.0,74056.0,74094.0,74140.0,74187.0,74246.0,74277.0,74339.0,74405.0,74434.0,74459.0,74537.0,74608.0,74689.0,74762.0,74817.0,74856.0,74888.0,74921.0,75022.0,75072.0,75141.0,75191.0,75288.0,75324.0,75385.0,75455.0,75483.0,75552.0,75599.0,75652.0,75702.0,75794.0,75948.0,76019.0
